training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.2794,0.1691,1.9079,2.9480
0,1,0.2794,0.2132,1.6091,1.7192
0,2,0.2647,0.3529,1.3828,1.3667
0,3,0.1985,0.2059,1.3800,1.3868
0,4,0.2868,0.3162,1.3495,1.3650
1,0,0.2500,0.2652,1.4497,1.4437
1,1,0.2576,0.2652,1.3742,1.4143
1,2,0.3333,0.2652,1.3717,1.3695
1,3,0.3258,0.3333,1.3661,1.3609
1,4,0.3333,0.3333,1.3609,1.3585
2,0,0.2500,0.2500,1.4091,1.4167
2,1,0.2375,0.2500,1.4062,1.4098
2,2,0.1625,0.2375,1.4049,1.4003
2,3,0.2500,0.2625,1.3903,1.3917
2,4,0.2625,0.2625,1.3909,1.3884
